"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d2.0_t1.0_R2.3_s8.1","D","ErC10",456,0.41448519605268,0.018451638121143,0.571584306732371,0.0202590739667564,0.927631578947368,0.0121333266477757
"d2.0_t2.0_R2.3_s8.1","D","ErC10",379,0.663739732293885,0.0243562874531704,0.815347101165578,0.0320384892755839,0.836411609498681,0.0190005713700026
"d4.0_t0.8_R2.3_s8.1","D","ErC10",481,0.0565285096101042,0.0126280952789781,0.282383589782966,0.0253759751045716,0.960498960498961,0.00888137430359366
"d4.0_t1.0_R2.3_s8.1","D","ErC10",478,0.115399991633079,0.0117257244783005,0.280893458814867,0.0112306924553455,0.96234309623431,0.0087070958131225
"d4.0_t2.0_R17.0_s8.1","D","ErC10",493,0.046683839801506,0.00418163584633418,0.103838968829026,0.00425567872272088,0.931034482758621,0.0114123589347867
"d4.0_t2.0_R2.3_s8.1","D","ErC10",450,0.232649475237113,0.0128551633643152,0.358225312350252,0.0147675977556816,0.904444444444444,0.0138583862583094
"d4.0_t2.0_R3.3_s8.1","D","ErC10",483,0.146882668672006,0.0086792708668091,0.240589805220215,0.00922326553179058,0.921325051759834,0.0122504236424462
"d4.0_t2.0_R73.0_s8.1","D","ErC10",493,0.0195299406543792,0.0024748832000047,0.0582661276726625,0.00307030075527042,0.949290060851927,0.00988149265026826
"d8.0_t0.8_R2.3_s8.1","D","ErC10",487,-0.0175591038349701,0.00734048041006702,0.162773742709529,0.00503927017448133,0.950718685831622,0.00980850176443198
"d8.0_t1.0_R2.3_s8.1","D","ErC10",462,0.0381991944100293,0.0091614839797568,0.200380123888332,0.00650115859531109,0.922077922077922,0.012470764746577
"d8.0_t2.0_R2.3_s8.1","D","ErC10",464,0.0827179558995086,0.00679316618011299,0.167953477647041,0.00519486458666248,0.952586206896552,0.00986609980051332
"d2.0_t0.8_R2.3_s8.1","B2","ErC10",492,0.344527108962121,0.0219159601094905,0.595424889303848,0.0315066783053022,0.914634146341463,0.0125974675387399
"d2.0_t1.0_R2.3_s8.1","B2","ErC10",476,0.643084029717633,0.0284316591756856,0.89304406942322,0.04051852835997,0.82563025210084,0.0173910135031121
"d2.0_t2.0_R2.3_s8.1","B2","ErC10",210,1.61529516579913,0.0400972503097766,1.71616038716568,0.0424829043041257,0.595238095238095,0.0338715855924935
"d4.0_t0.8_R2.3_s8.1","B2","ErC10",493,0.102332654155978,0.0145193578183281,0.337922112066194,0.0247565965272103,0.926977687626775,0.0117176081738643
"d4.0_t1.0_R2.3_s8.1","B2","ErC10",468,0.32235358075179,0.0179671271425743,0.504646091034321,0.0226904700995465,0.85042735042735,0.0164862460204606
"d4.0_t2.0_R17.0_s8.1","B2","ErC10",237,0.983697990601047,0.00615328019091117,0.988229412125541,0.00616153228883289,0.983122362869198,0.00836730186428771
"d4.0_t2.0_R2.3_s8.1","B2","ErC10",154,0.856666029383768,0.0221156754403514,0.899282747654009,0.0224205267969864,0.896103896103896,0.0245877310091306
